Default Field names for partners,Type,Required,,
address1,String,Y,,
address2,String,N,,
associations      ,Array,N,,
attribution       ,Array,N,,
brands            ,Array,N,,
canonicalListingId,,only for suppress,,
categories,,Y,,
city,String,Y,,
closed,true/false,default closed = false,,
closeDate         ,date,N,,
countryCode    ,String,Y,,
description,String,N,,
displayAddress,String,N,,
email,String,N,,
facebookPageUrl   ,String,N,,
fax,10 digit phone number,N,,
hours,Array,N,,
hoursText,Array,N,,
images,Array,N,,
keywords          ,Array,N,,
languages,Array,N,,
latitude,decimal,N,,
longitude,decimal,N,,
name,String,Y,,
neighbourhood  ,String,N,,
paidBusiness,true/false,Y,,
partnerBid     ,String,Y,,
paymentOptions,Array,N,,
phone1,10 digit phone number,Y,,
phone2,10 digit phone number,N,,
phone3,10 digit phone number,N,,
phone4,10 digit phone number,N,,
postalCode,String,Y,,
products          ,Array,N,,
reasonForCanonicalListingId,text,N,,
services          ,Array,N,,
specialOffer      ,Array,N,,
specialties       ,Array,N,,
state,String,Y,,
status,true/false,only for suppress,,this is for suppressed and unsuppressed
tollFree,10 digit phone number,N,,
TTY,10 digit phone number,N,,
twitterHandle     ,String,N,,
videos,Array,N,,
visible,String,default visible = true,,
website,String,N,,
yearEstablished,year(YYYY),N,,